lead_id,created_at,source,product,region,rep,response_time_hours,stage_reached,status,lost_reason,deal_value,closed_at
LD-300000,2025-11-14 14:30:00,Webinar,Coding for Kids,International,Rep_15,0.57,Closed,Won,,574.72,2025-12-15 09:41:11.226466
LD-300001,2026-06-12 16:52:00,Organic Search,Language Learning,North Region,Rep_01,2.72,Contacted,Open,,,
LD-300002,2026-01-21 15:02:00,Organic Search,Coding for Kids,South Region,Rep_12,1.63,Demo Completed,Lost,Went With Competitor,673.32,2026-02-25 19:23:42.793161
LD-300003,2025-08-28 15:26:00,Referral,K-12 Math,South Region,Rep_07,1.77,Contacted,Open,,,
LD-300004,2026-06-03 10:00:00,Paid Search,Language Learning,West Region,Rep_13,2.73,Lead,Open,,,
LD-300005,2025-09-19 20:36:00,Organic Search,K-12 Math,International,Rep_15,2.29,Contacted,Open,,,
LD-300006,2025-11-14 14:03:00,Paid Search,K-12 Math,North Region,Rep_06,3.21,Contacted,Open,,,
LD-300007,2025-09-01 17:03:00,Paid Search,K-12 Math,North Region,Rep_01,0.48,Contacted,Open,,,
LD-300008,2025-08-25 19:40:00,Referral,Coding for Kids,South Region,Rep_07,2.55,Closed,Won,,723.67,2025-10-16 20:41:44.872095
LD-300009,2026-06-03 14:05:00,Paid Search,K-12 Math,South Region,Rep_12,6.24,Contacted,Open,,,
LD-300010,2026-06-22 11:08:00,Partner Channel,Competitive Exam Prep,International,Rep_05,2.95,Contacted,Open,,,
LD-300011,2025-11-11 15:49:00,Cold Outreach,Competitive Exam Prep,International,Rep_10,1.0,Lead,Open,,,
LD-300012,2025-03-28 14:32:00,Webinar,Coding for Kids,West Region,Rep_13,3.0,Closed,Won,,603.05,2025-05-02 11:58:34.056521
LD-300013,2025-03-10 20:45:00,Referral,Coding for Kids,North Region,Rep_06,4.93,Contacted,Open,,,
LD-300014,2026-05-04 17:50:00,Cold Outreach,Language Learning,East Region,Rep_04,2.18,Lead,Open,,,
LD-300015,2025-06-11 07:10:00,Organic Search,K-12 Math,South Region,Rep_02,5.4,Contacted,Open,,,
LD-300016,2025-02-28 09:06:00,Paid Search,Study Abroad Prep,West Region,Rep_13,6.82,Demo Completed,Lost,No Response / Ghosted,1379.65,2025-03-28 10:20:43.782866
LD-300017,2026-04-04 11:09:00,Webinar,Competitive Exam Prep,East Region,Rep_04,4.1,Contacted,Open,,,
LD-300018,2025-09-29 09:35:00,Referral,Coding for Kids,North Region,Rep_06,5.16,Contacted,Open,,,
LD-300019,2025-07-17 11:05:00,Cold Outreach,Study Abroad Prep,North Region,Rep_11,3.97,Lead,Open,,,
LD-300020,2025-12-27 10:09:00,Paid Search,K-12 Math,South Region,Rep_07,1.97,Closed,Won,,423.65,2026-01-31 19:29:05.287792
LD-300021,2025-07-07 17:46:00,Paid Search,K-12 Math,East Region,Rep_09,3.27,Demo Completed,Lost,Bad Timing,491.48,2025-07-31 00:34:05.025358
LD-300022,2025-04-09 19:52:00,Referral,K-12 Math,West Region,Rep_08,1.76,Closed,Won,,443.38,2025-05-14 21:34:45.733557
LD-300023,2025-01-30 18:27:00,Webinar,Study Abroad Prep,International,Rep_10,7.24,Contacted,Open,,,
LD-300024,2025-04-18 09:52:00,Webinar,Language Learning,South Region,Rep_12,2.76,Contacted,Open,,,
LD-300025,2025-08-25 14:06:00,Social Media,Language Learning,South Region,Rep_07,6.56,Lead,Open,,,
LD-300026,2025-07-18 12:47:00,Webinar,Study Abroad Prep,North Region,Rep_01,1.39,Demo Scheduled,Open,,,
LD-300027,2025-02-28 08:10:00,Social Media,Competitive Exam Prep,East Region,Rep_04,1.33,Lead,Open,,,
LD-300028,2026-02-13 10:50:00,Social Media,K-12 Math,South Region,Rep_12,1.08,Demo Scheduled,Open,,,
LD-300029,2025-05-16 19:39:00,Paid Search,K-12 Math,North Region,Rep_01,3.12,Contacted,Open,,,
LD-300030,2025-11-27 13:56:00,Referral,K-12 Math,West Region,Rep_03,4.02,Negotiation,Lost,Price Objection,447.9,2026-01-24 08:30:40.903513
LD-300031,2026-02-06 14:26:00,Cold Outreach,K-12 Math,South Region,Rep_07,22.8,Contacted,Open,,,
LD-300032,2026-04-12 19:06:00,Webinar,Coding for Kids,East Region,Rep_14,8.48,Proposal Sent,Lost,Price Objection,549.71,2026-05-23 18:53:38.125827
LD-300033,2025-04-03 20:22:00,Webinar,Competitive Exam Prep,East Region,Rep_09,7.92,Negotiation,Lost,Price Objection,813.36,2025-05-31 22:08:19.446724
LD-300034,2025-12-24 20:45:00,Paid Search,Language Learning,West Region,Rep_08,6.48,Contacted,Open,,,
LD-300035,2025-01-20 20:37:00,Social Media,Coding for Kids,West Region,Rep_03,1.46,Demo Completed,Lost,No Response / Ghosted,727.15,2025-02-21 23:44:22.327292
LD-300036,2025-03-25 13:49:00,Webinar,Coding for Kids,West Region,Rep_08,1.36,Negotiation,Lost,No Response / Ghosted,703.8,2025-05-04 10:39:20.298738
LD-300037,2026-05-04 07:42:00,Cold Outreach,Coding for Kids,West Region,Rep_08,1.37,Lead,Open,,,
LD-300038,2025-05-16 15:22:00,Paid Search,Competitive Exam Prep,South Region,Rep_07,1.25,Contacted,Open,,,
LD-300039,2026-02-26 20:16:00,Paid Search,K-12 Math,East Region,Rep_14,18.15,Lead,Open,,,
