lead_id,created_at,source,product,region,rep,response_time_hours,stage_reached,status,lost_reason,deal_value,closed_at
LD-300000,11/14/2025 14:30,Webinar,Coding for Kids,,Rep_15,0.57,Closed,Won,,574.72,2025-12-15 09:41:11.226466
LD-300001,2026-06-12 16:52:00,Organic Search,Language Learning,,Rep_01,2.72,Contacted,Open,,,
LD-300002,21-Jan-2026 15:02,Organic Search,Coding for Kids,South Region,Rep_12,1.63,Demo Completed,Lost,Went With Competitor,673.32,2026-02-25 19:23:42.793161
LD-300003,28-Aug-2025 15:26,Referral,K-12 Math,South Region,Rep_07,1.77,Contacted,Open,,,
LD-300004,06/03/2026 10:00,Paid Search,Language Learning,West Region,Rep_13,2.73,Lead,Open,,,
LD-300005,2025-09-19 20:36:00,Organic Search,K-12 Math,International,Rep_15,2.29,Contacted,Open,,,
LD-300006,14-Nov-2025 14:03,Paid  Search,K-12 Math,North Region,Rep_06,3.21,Contacted,Open,,,
LD-300007,2025-09-01 17:03:00,Paid Search,K-12 Math,North Region,Rep_01,0.48,Contacted,Open,,,
LD-300008,2025-08-25 19:40:00,Referral,Coding for Kids,South Region,Rep_07,2.55,Closed,Won,,723.67,2025-10-16 20:41:44.872095
LD-300009,2026-06-03 14:05:00,Paid  Search,K-12 Math,South Region,Rep_12,6.24,Contacted,Open,,,
LD-300010,06/22/2026 11:08,Partner Channel,Competitive Exam Prep,International,Rep_05,2.95,Contacted,Open,,,
LD-300011,11-Nov-2025 15:49,Cold Outreach,Competitive Exam Prep,,Rep_10,1.0,Lead,Open,,,
LD-300012,28-Mar-2025 14:32,Webinar,Coding for Kids,West Region,Rep_13,3.0,Closed,Won,,603.05,2025-05-02 11:58:34.056521
LD-300013,2025-03-10 20:45:00,Referral,Coding for Kids,North Region,Rep_06,4.93,Contacted,Open,,,
LD-300014,04-May-2026 17:50,Cold Outreach,Language Learning,East Region,Rep_04,2.18,Lead,Open,,,
LD-300015,06/11/2025 07:10,Organic Search,K12 Math,South Region,Rep_02,5.4,Contacted,Open,,,
LD-300016,02/28/2025 09:06,Paid Search,Study Abroad Prep,West Region,Rep_13,6.82,Demo Completed,Lost,No Response / Ghosted,1379.65,2025-03-28 10:20:43.782866
LD-300017,2026-04-04 11:09:00,Webinar,Competitive Exam Prep,East Region,Rep_04,4.1,Contacted,Open,,,
LD-300018,29-Sep-2025 09:35,Referral,CODING FOR KIDS,North Region,Rep_06,5.16,Contacted,Open,,,
LD-300019,17-Jul-2025 11:05,Cold-Outreach,Study Abroad Prep,North Region,Rep_11,3.97,Lead,Open,,,
LD-300020,2025-12-27 10:09:00,Paid Search,K-12  Math,,Rep_07,1.97,Closed,Won,,$423.65,2026-01-31 19:29:05.287792
LD-300021,07-Jul-2025 17:46,Paid Search,K-12 Math,East Region,Rep_09,3.27,Demo Completed,Lost,Bad Timing,491.48,2025-07-31 00:34:05.025358
